prompt_name,prompt_path,num_cases,rag_judged_cases,rag_judge_success_rate,no_rag_judged_cases,no_rag_judge_success_rate,rag_total_claims,no_rag_total_claims,rag_avg_claims_per_answer,rag_faithfulness_strict,rag_faithfulness_soft,no_rag_faithfulness_soft,rag_hallucination_rate,no_rag_hallucination_rate,rag_citation_coverage_claim_level,rag_citation_validity_rate,rag_citation_accuracy_rate,rag_answer_relevance_avg,rag_clinical_usefulness_avg,rag_safety_avg,faithfulness_soft_improvement_abs,hallucination_rate_reduction_abs,rag_meets_faithfulness,rag_meets_hallucination,rag_meets_citation_accuracy,rag_meets_faithfulness_improvement,rag_meets_hallucination_reduction
rag_diagnostic_v1,configs/prompts/rag_diagnostic_v1.yaml,20,20,1.0,20,1.0,131,217,6.55,0.789,0.8107,0.4412,0.1489,0.2761,0.9685,1.0,0.8407,4.9,4.95,5.0,0.3695,0.1272,False,True,False,True,False
rag_diagnostic_v2_strict,configs/prompts/rag_diagnostic_v2_strict.yaml,20,20,1.0,20,1.0,140,217,7.0,0.7741,0.7981,0.4306,0.1446,0.3516,0.9449,1.0,0.8562,4.95,4.95,5.0,0.3675,0.207,False,True,False,True,True
rag_diagnostic_v3_compact,configs/prompts/rag_diagnostic_v3_compact.yaml,20,20,1.0,20,1.0,124,217,6.2,0.7741,0.7991,0.3757,0.1675,0.3818,1.0,0.975,0.8292,4.9,4.9,5.0,0.4234,0.2143,False,False,False,True,True
rag_diagnostic_v2_strict,configs/prompts/_archive_rag_diagnostic_v2_strict_with_limits.yaml,20,20,1.0,20,1.0,142,217,7.1,0.7256,0.7505,0.4188,0.2246,0.3418,1.0,1.0,0.7918,4.8,4.7,5.0,0.3317,0.1172,False,False,False,True,False
